dataset,deg_id,gene_name,gene_id,cog,functional_category,function,organism,accession,growth_condition,expression_level,gene_ontology,uniprot_id,extra,strain,organism_dataset,method,condition,pmid,reference,aa_len,nt_len
DEG1066,DEG10660001,-,Protein_ID: CAR50333.1,-,-,chromosome partitioning protein ParB,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0027,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",297,894
DEG1066,DEG10660002,atpB,Protein_ID: CAR50336.1,-,-,ATP synthase A chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0030,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",283,852
DEG1066,DEG10660003,atpE,Protein_ID: CAR50337.1,-,-,ATP synthase C chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0031,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",89,270
DEG1066,DEG10660004,atpF,Protein_ID: CAR50338.1,-,-,ATP synthase B chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0032,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",156,471
DEG1066,DEG10660005,atpH,Protein_ID: CAR50339.1,-,-,ATP synthase delta chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0033,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",179,540
DEG1066,DEG10660006,atpA,Protein_ID: CAR50340.1,-,-,ATP synthase alpha chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0034,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",513,1542
DEG1066,DEG10660007,atpG,Protein_ID: CAR50341.1,-,-,ATP synthase gamma chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0035,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",291,876
DEG1066,DEG10660008,atpD,Protein_ID: CAR50342.1,-,-,ATP synthase beta chain,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0036,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",464,1395
DEG1066,DEG10660009,hemE,Protein_ID: CAR50346.1,-,-,uroporphyrinogen decarboxylase,Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0040,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",364,1095
DEG1066,DEG10660010,priA,Protein_ID: CAR50347.1,-,-,primosomal protein N',Burkholderia cenocepacia J2315 chromosome 1,AM747720,LB medium,locus_tag:BCAL0041,-,-,-,J2315,Burkholderia cenocepacia J2315,TraDIS,Rich medium; SOB medium,27597847,"Wong, Y. C., Abd El Ghany, M., Naeem, R., Lee, K. W., Tan, Y. C., Pain, A., & Nathan, S. (2016). Candidate essential genes in Burkholderia cenocepacia J2315 identified by genome-wide TraDIS. Frontiers in microbiology, 7, 1288.",753,2262
