dataset,deg_id,gene_name,gene_id,cog,functional_category,function,organism,accession,growth_condition,expression_level,gene_ontology,uniprot_id,extra,strain,organism_dataset,method,condition,pmid,reference,aa_len,nt_len
DEG1053,DEG10530001,-,Protein_ID: WP_006487096.1,-,-,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase",Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00035,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",208,627
DEG1053,DEG10530002,-,Protein_ID: WP_006487098.1,-,-,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00060,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",512,1539
DEG1053,DEG10530003,murF,Protein_ID: WP_006487084.1,-,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00065,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",468,1407
DEG1053,DEG10530004,-,Protein_ID: WP_006477019.1,-,-,phospho-N-acetylmuramoyl-pentapeptide- transferase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00070,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",389,1170
DEG1053,DEG10530005,-,Protein_ID: WP_006487155.1,-,-,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00075,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",503,1512
DEG1053,DEG10530006,murG,Protein_ID: WP_006487111.1,-,-,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00085,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",367,1104
DEG1053,DEG10530007,-,Protein_ID: WP_006487095.1,-,-,UDP-N-acetylmuramate--L-alanine ligase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00090,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",465,1398
DEG1053,DEG10530008,-,Protein_ID: WP_006487105.1,-,-,D-alanine--D-alanine ligase,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00095,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",313,942
DEG1053,DEG10530009,-,Protein_ID: WP_006477014.1,-,-,cell division protein FtsQ/DivIB,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00100,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",250,753
DEG1053,DEG10530010,ftsA,Protein_ID: WP_006487138.1,-,-,cell division protein FtsA,Burkholderia cenocepacia strain K56-2 scf7180000000048,NZ_LAUA01000001,Luria-Bertani (LB) media,locus_tag:WQ49_RS00105,-,-,-,K56-2,Burkholderia cenocepacia K56-2,Tn-seq,Rich medium; Luria-Bertani (LB) media,29208119,"Gislason, A. S., Turner, K., Domaratzki, M., & Cardona, S. T. (2017). Comparative analysis of the Burkholderia cenocepacia K56-2 essential genome reveals cell envelope functions that are uniquely required for survival in species of the genus Burkholderia. Microbial genomics, 3(11).",410,1233
